Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.5039502621172461,0.014557929521703993,0.49321800453754727,0.49676453174517204,0.5305657357952923,0.49103869501292874,0.5081643434952909
1,1.0557070805308633,0.05849923176419712,0.9782509902882797,1.1294773127424915,0.99674670804573,1.0762899237658967,1.0977704678119191
2,1.2444516134229058,0.17375782528889763,1.4695546944567939,1.1284662157105103,1.441736453031552,1.0692011036283116,1.113299600287362
3,1.5552783683094753,0.19488303432730156,1.7082502744036077,1.5513233060841962,1.6726027621644062,1.1799847456641124,1.6642307532310534
4,1.7063592482325483,0.15240838550176034,1.8891201655797334,1.6542261030463763,1.8025803726879979,1.442879066311519,1.7429905335371159
5,1.7739351656332396,0.1039039370272897,1.8763237993480764,1.7693433810315058,1.839562719778806,1.5786120486047228,1.8058338794030862
6,1.8138506283050844,0.0867219591409772,1.8760586344781445,1.795762790571182,1.8890418206064152,1.6526194359258874,1.8557704599437934
7,1.8331030692871004,0.06849041809050195,1.8546479450289208,1.820305194191348,1.904279128699362,1.707798582971657,1.8784844955442137
8,1.8531475357761813,0.07333628465273284,1.8989046842851272,1.7805704142212408,1.9187495928338327,1.7486852203870196,1.9188277671536862
9,1.8504718136145608,0.054454265379656065,1.8725146194355866,1.8160591950704692,1.9345053631354965,1.7726474550795484,1.8566324353517039
10,1.855909745519158,0.047157358779026874,1.871570196385911,1.839812762212503,1.928872987005624,1.7831702106080622,1.8561225713836895
11,1.858998200136233,0.049385138354021245,1.8823124076518227,1.814685647708715,1.9417288688176833,1.806481386563393,1.8497826899395506
12,1.8529704538644325,0.05063888925953424,1.8944540110543724,1.8190887828800437,1.9296621465945796,1.79472532717405,1.8269220016191168
13,1.8476116810113585,0.04907419067475373,1.8713748956315515,1.8060384824250009,1.9280912841460593,1.790706843679333,1.8418468991748476
14,1.8582156403489976,0.05171686342350156,1.8630273750001636,1.8332604834010904,1.9481352622443853,1.7901058627913602,1.856549218307988
15,1.8553218105506324,0.050608095154072656,1.8605375567292373,1.8298412499449233,1.944012345639811,1.7901058627913602,1.8521120376478308
16,1.856150591966415,0.048367137011892165,1.8526497240439166,1.8397366659389054,1.93990489457602,1.7898600503950022,1.858601624878231
